AL, XX, 2017021000,   0,  41.5,  -27.7,   0,  60,    0, TD, 34, NEQ,  420,  420,  240,  120,   75,    0,  350,   35,
AL, XX, 2017021000,   0,  41.5,  -27.7,   0,  60,    0, TD, 50, NEQ,  300,  120,   30,   40,   75,    0,  350,   35,
AL, XX, 2017021000,   3,  37.0,  -27.8,   0,  60,  986, TD, 34, NEQ,  420,  420,  240,  120,   75,    0,  350,   35,
AL, XX, 2017021000,   3,  37.0,  -27.8,   0,  60,  986, TD, 50, NEQ,  300,  120,   30,   40,   75,    0,  350,   35,
AL, XX, 2017021000,  6,  32.2,  -29.4,  30,  65,    0, TS, 34, NEQ,  420,  420,  240,  120,   80,    0,  350,   42,
AL, XX, 2017021000,  6,  32.2,  -29.4,  30,  65,    0, TS, 50, NEQ,  300,  120,    0,    0,   80,    0,  350,   42,
AL, XX, 2017021000,  6,  32.2,  -29.4,  30,  65,    0, TS, 64, NEQ,  150,    0,    0,    0,   80,    0,  350,   42,
AL, XX, 2017021000,  9,  27.3,  -50.1,  49,  65,    0, HU, 34, NEQ,  420,  360,  240,  240,   80,    0,  335,   41,
AL, XX, 2017021000,  9,  27.3,  -50.1,  49,  65,    0, HU, 50, NEQ,  240,  180,    0,    0,   80,    0,  335,   41,
AL, XX, 2017021000,  9,  27.3,  -50.1,  49,  65,    0, HU, 64, NEQ,  150,    0,    0,    0,   80,    0,  335,   41,
AL, XX, 2017021000,  10,  27.3,  -60.1,  49,  65,    0, HU, 34, NEQ,  420,  360,  240,  240,   80,    0,  335,   41,
AL, XX, 2017021000,  11,  27.3,  -70.1,  49,  65,    0, HU, 34, NEQ,  420,  360,  240,  240,   80,    0,  335,   41,
AL, XX, 2017021000,  12,  26.5,  -81.2,  66,  60,    0, HU, 34, NEQ,  420,  180,   60,  300,   75,    0,  275,   30,
