EP, XX, 2017021000,   0,  16.3,  -94.8,   0,  20,    0, DB, 34, NEQ,    200,    0,    0,    0,   30,    0,  360,    3,
EP, XX, 2017021000,   1,  17.4,  -95.8,   0,  20, 1008, DB, 34, NEQ,    200,    0,    0,    0,   30,    0,  360,    3,
EP, XX, 2017021000,   2,  18.4,  -96.8,   0,  20, 1008, TD, 34, NEQ,    200,    0,    0,    0,   30,    0,  360,    3,
EP, XX, 2017021000,   3,  19.4,  -97.8,   0,  20, 1008, TD, 34, NEQ,    200,    0,    0,    0,   30,    0,  360,    3,
EP, XX, 2017021000,   4,  20.4,  -98.8,   0,  20, 1008, TS, 34, NEQ,    200,    0,    0,    0,   30,    0,  360,    3,
EP, XX, 2017021000,   5,  21.4,  -99.8,   0,  20, 1008, TS, 34, NEQ,    200,    0,    0,    0,   30,    0,  360,    3,
EP, XX, 2017021000,   6,  22.4,  -100.8,   0,  20, 1008, TY, 34, NEQ,    200,    0,    0,    0,   30,    0,  360,    3,
EP, XX, 2017021000,   7,  23.4,  -101.8,   0,  20, 1008, TY, 34, NEQ,    200,    0,    0,    0,   30,    0,  360,    3,
EP, XX, 2017021000,   8,  24.4,  -102.8,   0,  20, 1008, ST, 34, NEQ,    200,    0,    0,    0,   30,    0,  360,    3,
EP, XX, 2017021000,   9,  25.4,  -103.8,   0,  20, 1008, ST, 34, NEQ,    200,    0,    0,    0,   30,    0,  360,    3,
EP, XX, 2017021000,   10,  26.4,  -104.8,   0,  20, 1008, TC, 34, NEQ,    200,    0,    0,    0,   30,    0,  360,    3,
EP, XX, 2017021000,   11,  27.4,  -105.8,   0,  20, 1008, TC, 34, NEQ,    200,    0,    0,    0,   30,    0,  360,    3,
